,Year,Name,Last,First,Hand,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP
0,2020,Rubby De La Rosa,De La Rosa,Rubby,R,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2020,Takahiro Fujioka,Fujioka,Takahiro,L,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2020,Yuri Furukawa,Furukawa,Yuri,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,2020,Hayato Horioka,Horioka,Hayato,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2020,Nobutaka Imamura,Imamura,Nobutaka,L,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
5,2020,Shingo Ishikawa,Ishikawa,Shingo,R,15,12,1,4,0,0,1,7,6,0,0,0,0,1,0,0,4,0,0.33299999999999996,0.583,0.385
6,2020,Yohei Kagiya,Kagiya,Yohei,R,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7,2020,Yoshiyuki Kamei,Kamei,Yoshiyuki,L,17,43,5,12,5,0,0,17,6,0,1,1,0,7,0,1,6,0,0.27899999999999997,0.395,0.392
8,2020,Yukinori Kishida,Kishida,Yukinori,R,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0.5,0.5,0.5
9,2020,Takumi Kitamura,Kitamura,Takumi,R,14,23,5,8,2,0,0,10,7,0,0,0,0,3,0,0,7,0,0.348,0.435,0.423
10,2020,Seiji Kobayashi,Kobayashi,Seiji,R,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.4
11,2020,Takuya Kuwahara,Kuwahara,Takuya,R,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
12,2020,Yoshihiro Maru,Maru,Yoshihiro,L,23,81,10,19,5,0,4,36,18,2,1,2,0,10,0,0,20,3,0.235,0.444,0.319
13,2020,Daiki Masuda,Masuda,Daiki,R,18,16,9,3,2,0,0,5,1,5,0,0,0,5,0,0,5,0,0.188,0.313,0.381
14,2020,Cristopher Crisostomo Mercedes,Mercedes,Cristopher Crisostomo,S,4,7,0,2,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0.28600000000000003,0.28600000000000003,0.28600000000000003
15,2020,Ryosuke Miyaguni,Miyaguni,Ryosuke,R,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
16,2020,Kota Nakagawa,Nakagawa,Kota,L,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
17,2020,Hiroyuki Nakajima,Nakajima,Hiroyuki,R,22,68,6,18,3,0,3,30,8,0,1,0,0,12,0,0,13,2,0.265,0.441,0.375
18,2020,Takumi Ohshiro,Ohshiro,Takumi,L,18,47,9,14,1,1,1,20,4,0,0,0,0,7,2,0,15,0,0.298,0.426,0.389
19,2020,Kan Ohtake,Ohtake,Kan,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20,2020,Kazuma Okamoto,Okamoto,Kazuma,R,23,89,19,30,5,0,8,59,23,0,0,0,0,9,2,0,20,3,0.337,0.6629999999999999,0.39799999999999996
21,2020,Gerardo Parra,Parra,Gerardo,L,20,69,8,21,2,0,3,32,11,0,2,0,0,6,1,0,16,1,0.304,0.46399999999999997,0.36
22,2020,Hayato Sakamoto,Sakamoto,Hayato,R,22,75,15,17,2,1,3,30,9,3,0,1,0,16,2,0,20,3,0.22699999999999998,0.4,0.363
23,2020,Toshiki Sakurai,Sakurai,Toshiki,R,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
24,2020,Angel Sanchez,Sanchez,Angel,S,5,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0.0,0.0,0.0
25,2020,Hirokazu Sawamura,Sawamura,Hirokazu,R,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
26,2020,Shinnosuke Shigenobu,Shigenobu,Shinnosuke,L,18,17,6,4,1,0,1,8,3,1,1,0,0,2,0,0,6,0,0.235,0.47100000000000003,0.316
27,2020,Tomoyuki Sugano,Sugano,Tomoyuki,R,4,7,1,1,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0.14300000000000002,0.14300000000000002,0.25
28,2020,Ginjiro Sumitani,Sumitani,Ginjiro,R,12,29,3,8,2,0,0,10,4,0,0,1,0,2,0,0,6,1,0.276,0.345,0.32299999999999995
29,2020,Kazuto Taguchi,Taguchi,Kazuto,L,3,6,0,3,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0.5,0.667,0.5
30,2020,Kyosuke Takagi,Takagi,Kyosuke,L,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
31,2020,Shunta Tanaka,Tanaka,Shunta,L,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0
32,2020,Shosei Togo,Togo,Shosei,R,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
33,2020,Thyago Vieira,Vieira,Thyago,R,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
34,2020,Akihiro Wakabayashi,Wakabayashi,Akihiro,S,14,11,5,3,0,0,0,3,0,0,1,0,0,1,0,0,3,1,0.273,0.273,0.33299999999999996
35,2020,Zelous Wheeler,Wheeler,Zelous,R,12,29,4,8,0,0,1,11,4,1,1,0,0,3,0,0,7,0,0.276,0.379,0.344
36,2020,Daikan Yoh,Yoh,Daikan,R,17,37,12,10,1,0,1,14,4,1,0,0,1,4,0,1,9,1,0.27,0.37799999999999995,0.349
37,2020,Naoki Yoshikawa,Yoshikawa,Naoki,L,22,49,4,12,1,0,3,22,6,1,1,1,0,4,1,0,13,3,0.245,0.449,0.302
38,2020,Dai Yuasa,Yuasa,Dai,R,5,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0.0,0.0,0.0
